date,weight,bf_pct,fat_mass,lbm,water_pct,bmi,note
2026-02-01,100.90,26.7,26.94,73.96,,,
2026-02-02,100.20,27.0,27.05,73.15,,,
2026-02-03,100.00,26.6,26.60,73.40,,,
2026-02-04,100.50,27.1,27.24,73.26,,,
2026-02-05,99.95,26.8,26.79,73.16,,,
2026-02-06,100.60,27.2,27.36,73.24,,,
2026-02-07,99.70,26.8,26.72,72.98,,,
2026-02-08,99.35,26.4,26.23,73.12,,,
2026-02-09,98.85,26.1,25.80,73.05,,,
2026-02-10,98.95,25.8,25.53,73.42,,,
2026-02-11,98.25,26.5,26.04,72.21,,,
2026-02-12,98.70,26.4,26.06,72.64,,,
2026-02-13,98.45,26.3,25.89,72.56,47.30,,
2026-02-14,98.60,25.7,25.34,73.26,47.80,,
2026-02-15,98.10,26.0,25.51,72.59,48.10,,
2026-02-16,98.15,25.5,25.03,73.12,48.20,,
2026-02-17,97.15,25.2,24.48,72.67,48.20,30.00,
2026-02-18,97.60,25.4,24.79,72.81,47.40,30.10,
2026-02-19,97.45,26.6,25.92,71.53,47.50,30.10,Error (Water Low)
2026-02-20,97.60,25.7,25.08,72.52,48.20,30.10,
2026-02-21,98.20,28.6,28.09,70.11,46.30,30.30,Negishi Salt Error
2026-02-22,97.20,26.6,25.86,71.34,48.10,30.00,
2026-02-23,97.40,26.2,25.52,71.88,48.30,30.10,
2026-02-24,98.30,26.2,25.75,72.55,49.00,30.30,Refeed Start
2026-02-25,99.90,26.7,26.67,73.23,48.30,30.80,Refeed Peak
2026-02-26,97.95,26.4,25.86,72.09,47.90,30.20,Whoosh Effect
2026-02-27,97.95,26.4,25.86,72.09,47.90,30.20,Whoosh Effect
2026-02-28,97.65,26.1,25.49,72.16,48.20,30.10,End of Feb
