date,weight,bf_pct,fat_mass,lbm,water_pct,bmi,note
2026-01-03,106.20,29.6,31.44,74.76,46.50,30.60,Day 1 Start
2026-01-04,102.90,27.9,28.71,74.19,,,
2026-01-05,102.90,27.9,28.71,74.19,,,
2026-01-06,102.90,27.9,28.71,74.19,,,
2026-01-07,102.90,27.9,28.71,74.19,,,
2026-01-08,102.90,27.9,28.71,74.19,,,
2026-01-09,102.90,27.9,28.71,74.19,,,
2026-01-10,102.90,27.9,28.71,74.19,,,
2026-01-11,102.90,27.9,28.71,74.19,,,
2026-01-12,102.90,27.9,28.71,74.19,,,
2026-01-13,102.90,27.9,28.71,74.19,,,
2026-01-14,102.90,27.9,28.71,74.19,,,
2026-01-15,102.90,27.9,28.71,74.19,,,
2026-01-16,101.00,26.8,27.07,73.93,,,
2026-01-17,101.00,26.8,27.07,73.93,,,
2026-01-18,101.00,26.8,27.07,73.93,,,
2026-01-19,101.00,26.8,27.07,73.93,,,
2026-01-20,101.00,26.8,27.07,73.93,,,
2026-01-21,101.00,26.8,27.07,73.93,,,
2026-01-22,101.00,26.8,27.07,73.93,,,
2026-01-23,101.00,26.8,27.07,73.93,,,
2026-01-24,101.00,26.8,27.07,73.93,,,
2026-01-25,101.00,26.8,27.07,73.93,,,
2026-01-26,101.00,26.8,27.07,73.93,,,
2026-01-27,101.00,26.8,27.07,73.93,,,
2026-01-28,101.00,26.8,27.07,73.93,,,
2026-01-29,101.00,26.8,27.07,73.93,,,
2026-01-30,101.00,26.8,27.07,73.93,,,
2026-01-31,101.00,26.8,27.07,73.93,,,
