date,weight,bf_pct,fat_mass,lbm,water_pct,bmi,note
2026-05-01,100.0,27.2,27.2,72.8,47.8,30.9,
2026-05-02,98.1,26.4,25.9,72.2,48.6,30.3,トレ日
2026-05-03,99.05,24.9,24.66,74.39,48.4,30.6,トレ翌日・LBMベスト更新
2026-05-04,98.65,26.2,25.85,72.8,47.7,30.4,
2026-05-05,98.7,26.0,25.66,73.04,48.5,30.5,
2026-05-06,99.05,26.9,26.64,72.41,47.3,30.6,旅行中・データなし(padded)
2026-05-07,99.05,26.9,26.64,72.41,47.3,30.6,旅行中・データなし(padded)
2026-05-08,99.05,26.9,26.64,72.41,47.3,30.6,旅行中・データなし(padded)
2026-05-09,99.05,26.9,26.64,72.41,47.3,30.6,旅行明け
