date,weight,bf_pct,fat_mass,lbm,water_pct,bmi,note
2026-04-01,98.55,26.9,26.51,72.04,47.4,30.4,
2026-04-02,98.45,25.7,25.3,73.15,48.4,30.4,
2026-04-03,98.75,25.8,25.48,73.27,47.9,30.5,
2026-04-04,98.35,25.7,25.28,73.07,48.0,30.4,
2026-04-05,98.85,25.2,24.91,73.94,48.7,30.5,
2026-04-06,99.0,27.7,27.42,71.58,47.9,30.6,飲酒翌日
2026-04-07,99.5,27.5,27.36,72.14,47.6,30.7,padded
2026-04-08,99.5,27.5,27.36,72.14,47.6,30.7,体調不良
2026-04-09,98.15,26.5,26.01,72.14,48.0,30.3,
2026-04-10,98.55,26.5,26.12,72.43,47.7,30.4,体調回復中
2026-04-11,98.15,25.3,24.83,73.32,48.2,30.3,
2026-04-12,98.5,26.1,25.71,72.79,48.9,30.4,
2026-04-13,98.55,25.7,25.33,73.22,48.6,30.4,
2026-04-14,100.0,26.7,26.7,73.3,48.4,30.9,飲酒+ラーメン翌日
2026-04-15,98.65,27.2,26.83,71.82,48.3,30.4,padded
2026-04-16,98.65,27.2,26.83,71.82,48.3,30.4,
2026-04-17,99.4,27.0,26.84,72.56,47.4,30.7,
2026-04-18,99.05,26.9,26.64,72.41,47.8,30.6,
2026-04-19,98.75,27.3,26.96,71.79,48.4,30.5,フェーズ2開始(体験レッスン)
2026-04-20,99.1,27.0,26.76,72.34,47.8,30.6,オフ日
2026-04-21,98.95,26.8,26.52,72.43,47.5,30.5,
